areaCode,areaName,areaType,date,variant,cumWeeklySequenced,newWeeklyPercentage
E12000001,North East,region,2022-08-28,VOC-22JAN-01 (Omicron BA.2),114457.0,1.0
E12000001,North East,region,2022-08-21,Other,114355.0,9.6
E12000001,North East,region,2022-08-21,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-08-21,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-08-21,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-08-21,V-22JUL-01 (Omicron BA.2.75),0.0,0.0
E12000001,North East,region,2022-08-21,V-22OCT-01 (Omicron BQ.1),114355.0,1.1
E12000001,North East,region,2022-08-21,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-08-21,VOC-22APR-03 (Omicron BA.4),114355.0,4.3
E12000001,North East,region,2022-08-21,VOC-22APR-04 (Omicron BA.5),114355.0,85.1
E12000001,North East,region,2022-08-21,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-08-14,Other,114261.0,5.9
E12000001,North East,region,2022-08-14,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-08-14,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-08-14,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-08-14,V-22JUL-01 (Omicron BA.2.75),114261.0,0.8
E12000001,North East,region,2022-08-14,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-08-14,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-08-14,VOC-22APR-03 (Omicron BA.4),114261.0,2.5
E12000001,North East,region,2022-08-14,VOC-22APR-04 (Omicron BA.5),114261.0,90.8
E12000001,North East,region,2022-08-14,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
E12000001,North East,region,2022-08-07,Other,114142.0,8.5
E12000001,North East,region,2022-08-07,V-20DEC-01 (Alpha),0.0,0.0
E12000001,North East,region,2022-08-07,V-21APR-02 (Delta B.1.617.2),0.0,0.0
E12000001,North East,region,2022-08-07,V-21OCT-01 (Delta AY 4.2),0.0,0.0
E12000001,North East,region,2022-08-07,V-22JUL-01 (Omicron BA.2.75),114142.0,0.6
E12000001,North East,region,2022-08-07,V-22OCT-01 (Omicron BQ.1),0.0,0.0
E12000001,North East,region,2022-08-07,VOC-21NOV-01 (Omicron BA.1),0.0,0.0
E12000001,North East,region,2022-08-07,VOC-22APR-03 (Omicron BA.4),114142.0,9.7
E12000001,North East,region,2022-08-07,VOC-22APR-04 (Omicron BA.5),114142.0,81.2
E12000001,North East,region,2022-08-07,VOC-22JAN-01 (Omicron BA.2),0.0,0.0
